title,ratings
Steamboat Willie,7.6
Watership Down,7.6
"'night, Mother",7.6
Sense and Sensibility,7.6
Steamboat Willie,7.6
Police Story,7.6
Ice Age,7.5
The Consequences of Love,7.5
Linda Linda Linda,7.5
Hail the Judge,7.5
Citizen X,7.5
The Man Who Knew Too Much,7.5
Leaving Las Vegas,7.5
Looking for Alexander,7.5
The Good Earth,7.5
A Time to Kill,7.5
Green Street,7.5
House of Flying Daggers,7.5
The Hole,7.5
Rosetta,7.5
Danton,7.5
The Thief of Bagdad,7.5
Scrooge,7.5
Straw Dogs,7.5
The Thief of Bagdad,7.5
Dead Man Walking,7.5
Heaven Can Wait,7.5
Written on the Wind,7.5
The Good Earth,7.5
"All This, and Heaven Too",7.5
The Good Earth,7.5
For a Lost Soldier,7.5
The Thief of Bagdad,7.5
Since Otar Left,7.5
Daisy,7.5
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",7.5
Stranger than Fiction,7.5
Journey of Hope,7.5
Olympic Garage,7.5
The Thief of Bagdad,7.5
Jesus of Montreal,7.5
Sunshine,7.5
Darwin's Nightmare,7.5
Public Enemy No. 1 – Todestrieb,7.5
Hoosiers,7.5
Kiss Kiss Bang Bang,7.5
Criss Cross,7.5
Iron Monkey,7.5
The Piano Teacher,7.5
They Call Me Trinity,7.5
A Chinese Ghost Story,7.5
The Thief of Bagdad,7.5
Tell No One,7.5
Bonjour Monsieur Shlomi,7.5
Persuasion,7.5
Shower,7.5
I Am Trying to Break Your Heart: A Film About Wilco,7.5
"You, the Living",7.5
Stalingrad,7.5
Tabu,7.5
Secret Sunshine,7.5
If....,7.5
Europa '51,7.5
Ice Age,7.5
Young Catherine,7.5
Following,7.5
As It Is in Heaven,7.5
The Thief of Bagdad,7.5
A Touch of Spice,7.5
Doubt,7.5
La antena,7.5
Star Wars: Episode III – Revenge of the Sith,7.5
Running Out of Time,7.4
The Dead,7.4
The Razor's Edge,7.4
The Informer,7.4
Witness,7.4
Suspicion,7.4
Frenzy,7.4
Cry Freedom,7.4
Land Without Bread,7.4
Vive L'Amour,7.4
An Inconvenient Truth,7.4
Three Days of the Condor,7.4
Some Came Running,7.4
The Beautiful Country,7.4
Enchanted April,7.4
"The Adventures of Priscilla, Queen of the Desert",7.4
Frozen Land,7.4
Gunga Din,7.4
The Man in the Moon,7.4
Roger & Me,7.4
Reign Over Me,7.4
K-PAX,7.4
Solino,7.4
Pauline at the Beach,7.4
The Stranger,7.4
The China Syndrome,7.4
The King and I,7.4
The Greatest Game Ever Played,7.4
La Chèvre,7.4
The Man with the Golden Arm,7.4
Best in Show,7.4
The Story of G.I. Joe,7.4
Garden State,7.4
Bastard Out of Carolina,7.4
Death in Venice,7.4
Open Range,7.4
Les Misérables,7.4
The Story of Louis Pasteur,7.4
Tesis,7.4
Niki and Flo,7.4
The Proud and the Beautiful,7.4
The Saltmen of Tibet,7.4
The English Patient,7.4
The Talented Mr. Ripley,7.4
The NeverEnding Story,7.4
Wallace & Gromit: The Curse of the Were-Rabbit,7.4
Fullmetal Alchemist the Movie: Conqueror of Shamballa,7.4
Hard Core Logo,7.4
Platform,7.4
Memoirs of a Geisha,7.4
Christmas in Connecticut,7.4
Everything Is Illuminated,7.4
Oliver!,7.4
Chachi 420,7.4
Pumping Iron,7.4
Ben X,7.4
Interiors,7.4
Baghban,7.4
Stella Dallas,7.4
The Apartment,7.4
Giorgino,7.4
Wallace & Gromit: The Curse of the Were-Rabbit,7.4
Ten Minutes Older: The Trumpet,7.3
The Young Victoria,7.3
Moby Dick,7.3
Whose Life Is It Anyway?,7.3
Crimson Tide,7.3
Caro diario,7.3
Read My Lips,7.3
Ten Minutes Older: The Trumpet,7.3
Zero Day,7.3
Blindsight,7.3
Sleepy Hollow,7.3
Harrison Bergeron,7.3
The Green Butchers,7.3
Talk Radio,7.3
Natural Born Killers,7.3
Panic in the Streets,7.3
L'Age d'Or,7.3
Cape Fear,7.3
